intrados;x1;x2;z milieu;y1;y2;L mm;
EDM1;-128,126;-125,55;-51,63;113,123;119,05;4;C1
EDM2;-67,63;-64,86;-51,63;159,133;160,44;3;C1
EDM3;-1,5;1,5;-51,63;173,11;173,11;3;C1
EDM4;63,66;71,08;-51,63;160,988;157,87;8;C1
EDM5;94,353;96,85;-51,63;145,081;143,427;3;C1
extrados;x1;x2;;y1;y2;L mm;
EDM6;96,678;93,147;-51,36;177,69;179,57;4;C2
EDM7;64,552;58,822;-51,36;191,73;193,081;6;C2
EDM8;26,73;22,765;-51,36;200,548;201,038;4;C2
EDM9;-31,306;-35,251;-51,36;199,907;199,249;4;C2
EDM10;-99,115;-101,718;-51,36;176,34;174,845;3;C2
EDM11;-120,909;-123,299;-51,36;162,148;160,335;3;C2
