-111.344089;143.730347;-72.942256
-110.311817;143.939659;-73.442472
-109.279544;144.147130;-73.937905
-108.247271;144.352761;-74.428555
-107.214998;144.556550;-74.914423
-106.182725;144.758498;-75.395507
-105.150452;144.958606;-75.871809
-104.118179;145.156872;-76.343328
-103.085907;145.353297;-76.810064
-102.053634;145.547882;-77.272017
-101.021361;145.740625;-77.729188
-99.989088;145.931527;-78.181576
-98.956815;146.120589;-78.629181
-97.924542;146.307809;-79.072003
-96.892269;146.493188;-79.510042
-95.859996;146.676726;-79.943298
-94.827724;146.858424;-80.371772
-93.795451;147.038280;-80.795463
-92.763178;147.216295;-81.214371
-91.730905;147.392469;-81.628496
-90.698632;147.566802;-82.037838
-89.666359;147.739295;-82.442398
-88.634086;147.909946;-82.842175
-87.601814;148.078756;-83.237168
-86.569541;148.245725;-83.627380
-85.537268;148.410853;-84.012808
-84.504995;148.574140;-84.393453
-83.472722;148.735586;-84.769316
-82.440449;148.895191;-85.140396
-81.408176;149.052956;-85.506693
-80.375904;149.208879;-85.868207
-79.343631;149.362961;-86.224938
-78.311358;149.515202;-86.576887
-77.279085;149.665602;-86.924052
-76.246812;149.814161;-87.266435
-75.214539;149.960879;-87.604035
-74.182266;150.105756;-87.936853
-73.149993;150.248792;-88.264887
-72.117721;150.389987;-88.588139
-71.085448;150.529341;-88.906607
-70.053175;150.666854;-89.220293
-69.020902;150.802526;-89.529197
-67.988629;150.936357;-89.833317
-66.956356;151.068347;-90.132654
-65.924083;151.198496;-90.427209
-64.891811;151.326804;-90.716981
-63.859538;151.453271;-91.001970
-62.827265;151.577897;-91.282176
-61.794992;151.700681;-91.557600
-60.762719;151.821625;-91.828240
-59.730446;151.940728;-92.094098
-58.698173;152.057990;-92.355173
-57.665901;152.173411;-92.611465
-56.633628;152.286991;-92.862975
-55.601355;152.398730;-93.109701
-54.569082;152.508628;-93.351645
-53.536809;152.616684;-93.588806
-52.504536;152.722900;-93.821184
-51.472263;152.827275;-94.048779
-50.439990;152.929809;-94.271592
-49.407718;153.030502;-94.489621
-48.375445;153.129353;-94.702868
-47.343172;153.226364;-94.911332
-46.310899;153.321534;-95.115013
-45.278626;153.414863;-95.313912
-44.246353;153.506350;-95.508027
-43.214080;153.595997;-95.697360
-42.181808;153.683803;-95.881910
-41.149535;153.769768;-96.061677
-40.117262;153.853891;-96.236661
-39.084989;153.936174;-96.406862
-38.052716;154.016616;-96.572281
-37.020443;154.095216;-96.732917
-35.988170;154.171976;-96.888770
-34.955898;154.246895;-97.039840
-33.923625;154.319972;-97.186127
-32.891352;154.391209;-97.327632
-31.859079;154.460604;-97.464354
-30.826806;154.528159;-97.596293
-29.794533;154.593873;-97.723449
-28.762260;154.657745;-97.845822
-27.729987;154.719777;-97.963412
-26.697715;154.779967;-98.076220
-25.665442;154.838317;-98.184245
-24.633169;154.894825;-98.287487
-23.600896;154.949493;-98.385946
-22.568623;155.002320;-98.479622
-21.536350;155.053305;-98.568516
-20.504077;155.102450;-98.652626
-19.471805;155.149753;-98.731954
-18.439532;155.195216;-98.806499
-17.407259;155.238837;-98.876262
-16.374986;155.280617;-98.941241
-15.342713;155.320557;-99.001438
-14.310440;155.358655;-99.056851
-13.278167;155.394913;-99.107482
-12.245895;155.429329;-99.153331
-11.213622;155.461905;-99.194396
-10.181349;155.492639;-99.230679
-9.149076;155.521532;-99.262178
-8.116803;155.548585;-99.288895
-7.084530;155.573796;-99.310829
-6.052257;155.597167;-99.327980
-5.019984;155.618696;-99.340349
-3.987712;155.638384;-99.347934
-2.955439;155.656232;-99.350737
-1.923166;155.672238;-99.348757
-0.890893;155.686403;-99.341994
0.141380;155.698728;-99.330449
1.173653;155.709211;-99.314120
2.205926;155.717853;-99.293009
3.238198;155.724654;-99.267115
4.270471;155.729615;-99.236438
5.302744;155.732734;-99.200978
6.335017;155.734012;-99.160736
7.367290;155.733449;-99.115710
8.399563;155.731046;-99.065902
9.431836;155.726801;-99.011311
10.464108;155.720715;-98.951937
11.496381;155.712788;-98.887781
12.528654;155.703020;-98.818841
13.560927;155.691412;-98.745119
14.593200;155.677962;-98.666614
15.625473;155.662671;-98.583326
16.657746;155.645539;-98.495255
17.690019;155.626566;-98.402401
18.722291;155.605752;-98.304765
19.754564;155.583098;-98.202346
20.786837;155.558602;-98.095144
21.819110;155.532265;-97.983159
22.851383;155.504087;-97.866391
23.883656;155.474068;-97.744841
24.915929;155.442208;-97.618508
25.948201;155.408507;-97.487391
26.980474;155.372965;-97.351493
28.012747;155.335582;-97.210811
29.045020;155.296358;-97.065346
30.077293;155.255293;-96.915099
31.109566;155.212387;-96.760069
32.141839;155.167640;-96.600256
33.174111;155.121052;-96.435660
34.206384;155.072623;-96.266281
35.238657;155.022353;-96.092120
36.270930;154.970242;-95.913175
37.303203;154.916290;-95.729448
38.335476;154.860497;-95.540938
39.367749;154.802863;-95.347646
40.400022;154.743388;-95.149570
41.432294;154.682072;-94.946712
42.464567;154.618915;-94.739070
43.496840;154.553916;-94.526646
44.529113;154.487077;-94.309440
45.561386;154.418397;-94.087450
46.593659;154.347876;-93.860677
47.625932;154.275514;-93.629122
48.658204;154.201311;-93.392784
49.690477;154.125267;-93.151663
50.722750;154.047381;-92.905759
51.755023;153.967655;-92.655073
52.787296;153.886088;-92.399603
53.819569;153.802680;-92.139351
54.851842;153.717431;-91.874316
55.884114;153.630340;-91.604498
56.916387;153.541409;-91.329898
57.948660;153.450637;-91.050514
58.980933;153.358024;-90.766348
60.013206;153.263569;-90.477399
61.045479;153.167274;-90.183667
62.077752;153.069138;-89.885152
63.110025;152.969160;-89.581855
64.142297;152.867342;-89.273774
65.174570;152.763683;-88.960911
66.206843;152.658182;-88.643265
67.239116;152.550841;-88.320836
68.271389;152.441659;-87.993624
69.303662;152.330635;-87.661630
70.335935;152.217771;-87.324853
71.368207;152.103066;-86.983293
72.400480;151.986519;-86.636950
73.432753;151.868132;-86.285824
74.465026;151.747903;-85.929915
75.497299;151.625834;-85.569224
76.529572;151.501924;-85.203750
77.561845;151.376172;-84.833493
78.594117;151.248580;-84.458453
79.626390;151.119146;-84.078630
80.658663;150.987872;-83.694025
81.690936;150.854756;-83.304636
82.723209;150.719800;-82.910465
83.755482;150.583002;-82.511511
84.787755;150.444364;-82.107775
85.820028;150.303884;-81.699255
86.852300;150.161564;-81.285953
87.884573;150.017402;-80.867868
88.916846;149.871400;-80.445000
89.949119;149.723556;-80.017349
90.981392;149.573871;-79.584915
92.013665;149.422346;-79.147699
93.045938;149.268979;-78.705699
94.078210;149.113772;-78.258917
95.110483;148.956723;-77.807352
