edm_id,side,edm_x,edm_y,edm_z,green_field_percent_at_edm,green_field_db,status,physics_level
EDM_01,SIDE_A,145.1,96.1,-51.8,7.109211165591528,-22.963571713777778,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_02,SIDE_A,176.9,94.0,-51.8,5.047655096751809,-25.938206556636917,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_03,SIDE_A,160.4,67.8,-51.8,5.285427038120219,-25.53839835896912,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_04,SIDE_A,191.7,61.4,-51.8,4.852133789124599,-26.281344654553283,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_05,SIDE_A,199.8,24.5,-51.8,4.276458010179357,-27.378315757565307,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_06,SIDE_A,174.1,0.0,-51.8,2.7982679765973053,-31.062213951389186,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_07,SIDE_A,199.0,-33.2,-51.8,1.6405916456159286,-35.69999008674009,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_08,SIDE_A,160.8,-66.6,-51.8,4.391434674820974,-27.147871465003718,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_09,SIDE_B,174.7,-99.9,-51.8,3.430724550759516,-29.29228299176131,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_10,SIDE_B,160.5,-121.5,-51.8,3.5507437888350326,-28.99361327945092,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
EDM_11,SIDE_B,118.6,-188.0,-51.8,2.9783187925355885,-30.52057636385191,NOT_DETECTED,V4 Green field sampled at Tumelo EDM position
